Year,Week,Date_Wk,Date,State,Commodity,Commodity_type,Market,price
2019,18,05/05/2019,05/01/2019,Kano,maize,maize_white,retail,99.76
2019,18,05/05/2019,05/01/2019,Kano,maize,maize_yellow,farm_gate,100
2019,18,05/05/2019,05/01/2019,Kano,maize,maize_yellow,retail,98.71
2019,18,05/05/2019,05/01/2019,Kano,rice,rice_indian,retail,397.97
2019,18,05/05/2019,05/01/2019,Kano,rice,rice_thailand,farm_gate,360
2019,18,05/05/2019,05/01/2019,Kano,rice,rice_thailand,retail,424.6
2019,18,05/05/2019,05/01/2019,Katsina,maize,maize_white,retail,98.72
2019,18,05/05/2019,05/01/2019,Katsina,maize,maize_white,wholesale,77.38
2019,18,05/05/2019,05/01/2019,Katsina,maize,maize_yellow,farm_gate,78
2019,18,05/05/2019,05/01/2019,Katsina,maize,maize_yellow,retail,94.7
2019,18,05/05/2019,05/01/2019,Katsina,maize,maize_yellow,wholesale,79.92
2019,18,05/05/2019,05/01/2019,Katsina,rice,rice_indian,retail,306.91
2019,18,05/05/2019,05/01/2019,Katsina,rice,rice_thailand,farm_gate,276
2019,18,05/05/2019,05/01/2019,Katsina,rice,rice_thailand,retail,297.51
2019,19,05/12/2019,05/01/2019,Kano,maize,maize_white,farm_gate,80
2019,19,05/12/2019,05/01/2019,Kano,maize,maize_white,retail,100.4
2019,19,05/12/2019,05/01/2019,Kano,maize,maize_yellow,farm_gate,80
2019,19,05/12/2019,05/01/2019,Kano,maize,maize_yellow,retail,105.3
2019,19,05/12/2019,05/01/2019,Kano,rice,rice_indian,wholesale,154.71
2019,19,05/12/2019,05/01/2019,Kano,rice,rice_thailand,farm_gate,380
2019,19,05/12/2019,05/01/2019,Kano,rice,rice_thailand,retail,374.47
2019,19,05/12/2019,05/01/2019,Kano,rice,rice_thailand,wholesale,164.71
2019,19,05/12/2019,05/01/2019,Katsina,maize,maize_white,retail,98.67
2019,19,05/12/2019,05/01/2019,Katsina,maize,maize_white,wholesale,76.5
2019,19,05/12/2019,05/01/2019,Katsina,maize,maize_yellow,farm_gate,82
2019,19,05/12/2019,05/01/2019,Katsina,maize,maize_yellow,retail,98.73
2019,19,05/12/2019,05/01/2019,Katsina,maize,maize_yellow,wholesale,79.72
2019,19,05/12/2019,05/01/2019,Katsina,rice,rice_indian,retail,304.95
2019,19,05/12/2019,05/01/2019,Katsina,rice,rice_thailand,farm_gate,277.09
2019,19,05/12/2019,05/01/2019,Katsina,rice,rice_thailand,retail,300.26
2019,20,05/19/2019,05/01/2019,Kano,maize,maize_white,farm_gate,96
2019,20,05/19/2019,05/01/2019,Kano,maize,maize_white,retail,95.81
2019,20,05/19/2019,05/01/2019,Kano,maize,maize_yellow,farm_gate,108
2019,20,05/19/2019,05/01/2019,Kano,maize,maize_yellow,retail,101.48
2019,20,05/19/2019,05/01/2019,Kano,rice,rice_indian,retail,400
2019,20,05/19/2019,05/01/2019,Kano,rice,rice_indian,wholesale,140
2019,20,05/19/2019,05/01/2019,Kano,rice,rice_thailand,retail,396.34
2019,20,05/19/2019,05/01/2019,Kano,rice,rice_thailand,wholesale,150
2019,20,05/19/2019,05/01/2019,Katsina,maize,maize_white,farm_gate,75
2019,20,05/19/2019,05/01/2019,Katsina,maize,maize_white,retail,97.19
2019,20,05/19/2019,05/01/2019,Katsina,maize,maize_white,wholesale,76.38
2019,20,05/19/2019,05/01/2019,Katsina,maize,maize_yellow,farm_gate,78.5
2019,20,05/19/2019,05/01/2019,Katsina,maize,maize_yellow,retail,99.52
2019,20,05/19/2019,05/01/2019,Katsina,maize,maize_yellow,wholesale,80.26
2019,20,05/19/2019,05/01/2019,Katsina,rice,rice_indian,farm_gate,250
2019,20,05/19/2019,05/01/2019,Katsina,rice,rice_indian,retail,306.77
2019,20,05/19/2019,05/01/2019,Katsina,rice,rice_indian,wholesale,274.17
2019,20,05/19/2019,05/01/2019,Katsina,rice,rice_thailand,farm_gate,276
2019,20,05/19/2019,05/01/2019,Katsina,rice,rice_thailand,retail,305.52
2019,21,05/26/2019,05/01/2019,Kano,maize,maize_white,retail,96.04
2019,21,05/26/2019,05/01/2019,Kano,maize,maize_yellow,retail,102.75
2019,21,05/26/2019,05/01/2019,Kano,rice,rice_indian,retail,321.63
2019,21,05/26/2019,05/01/2019,Kano,rice,rice_thailand,retail,364.62
2019,21,05/26/2019,05/01/2019,Katsina,maize,maize_white,retail,96.36
